Playlist_ID,Playlist_Name,User_ID,Track_ID,Track_Name,Year
5,Playlist_5,2,3007,Come See Me,2011
6,Playlist_6,2,3024,Back in Time,2013
6,Playlist_6,2,3025,Global Warming (Intro),2014
6,Playlist_6,2,3026,Don't Stop the Party,2012
6,Playlist_6,2,3027,Feel This Moment,2013
6,Playlist_6,2,3028,Back in Time,2014
6,Playlist_6,2,3029,Hope We Meet Again,2013
6,Playlist_6,2,3030,Ah Leke,2014
6,Playlist_6,2,3031,Fun,2016
6,Playlist_6,2,3032,Time of Our Lives,2015
6,Playlist_6,2,3033,Celebrate,2016
6,Playlist_6,2,3034,Sexy Beaches,2014
6,Playlist_6,2,3035,We Are Strong,2019
6,Playlist_6,2,3036,Options,2019
6,Playlist_6,2,3037,Messin' Around,2018
6,Playlist_6,2,1009,White Horse,2010
6,Playlist_6,2,1010,Mine,2012
6,Playlist_6,2,2022,Long Away,2010
6,Playlist_6,2,2023,The Millionaire Waltz,2010
7,Playlist_7,3,2032,Bicycle Race,2011
7,Playlist_7,3,2033,Let Me Entertain You,2010
7,Playlist_7,3,2034,Dreamer's Ball,2011
7,Playlist_7,3,2035,Play the Game,2011
7,Playlist_7,3,2036,Dragon Attack,2012
7,Playlist_7,3,2037,Another One Bites the Dust,2010
7,Playlist_7,3,1024,All You Had to Do Was Stay,2015
7,Playlist_7,3,1025,...Ready for It?,2019
7,Playlist_7,3,3000,305 Anthem,2010
7,Playlist_7,3,3001,Culo,2010
7,Playlist_7,3,2004,Liar,2012
7,Playlist_7,3,2005,Procession,2010
7,Playlist_7,3,2029,Spread Your Wings,2011
7,Playlist_7,3,2030,Mustapha,2011
7,Playlist_7,3,2031,Fat Bottomed Girls,2012
7,Playlist_7,3,2032,Bicycle Race,2011
7,Playlist_7,3,3008,Jealouso,2011
7,Playlist_7,3,3009,Fuego,2010
7,Playlist_7,3,3000,305 Anthem,2010
7,Playlist_7,3,3001,Culo,2011
8,Playlist_8,3,3020,Mr. Worldwide (Intro),2011
8,Playlist_8,3,3021,Hey Baby (Drop It to the Floor),2011
8,Playlist_8,3,3030,Ah Leke,2015
8,Playlist_8,3,3031,Fun,2015
8,Playlist_8,3,2033,Let Me Entertain You,2012
8,Playlist_8,3,2034,Dreamer's Ball,2011
8,Playlist_8,3,2011,Killer Queen,2012
8,Playlist_8,3,2012,Tenement Funster,2010
8,Playlist_8,3,1042,gold rush,2020
8,Playlist_8,3,1043,'tis the damn season,2022
8,Playlist_8,3,1030,I Forgot That You Existed,2019
8,Playlist_8,3,1031,Cruel Summer,2020
8,Playlist_8,3,2014,Lily of the Valley,2010
8,Playlist_8,3,2015,Death on Two Legs (Dedicated to...),2010
8,Playlist_8,3,2029,Spread Your Wings,2012
8,Playlist_8,3,3032,Time of Our Lives,2015
8,Playlist_8,3,3033,Celebrate,2015
8,Playlist_8,3,3034,Sexy Beaches,2016
